iter	Passed	Remaining
408	5298	33565
409	5309	33539
410	5316	33491
411	5326	33461
412	5336	33425
413	5344	33384
414	5353	33346
415	5362	33309
416	5373	33283
417	5381	33241
418	5392	33216
419	5404	33200
420	5415	33174
421	5428	33164
422	5437	33126
423	5447	33095
424	5458	33073
425	5467	33037
426	5477	33004
427	5486	32968
428	5494	32926
429	5503	32895
430	5512	32857
431	5521	32820
432	5529	32782
433	5538	32743
434	5547	32709
435	5555	32672
436	5564	32636
437	5580	32641
438	5591	32619
439	5607	32623
440	5616	32590
441	5633	32603
442	5642	32569
443	5650	32530
444	5662	32511
445	5671	32476
446	5679	32439
447	5689	32411
448	5698	32374
449	5707	32345
450	5715	32300
451	5728	32294
452	5738	32263
453	5747	32230
454	5758	32209
455	5792	32313
456	5800	32278
457	5808	32241
458	5817	32205
459	5825	32166
460	5834	32131
461	5855	32166
462	5871	32174
463	5895	32221
464	5939	32382
465	5961	32419
466	5970	32385
467	5993	32424
468	6002	32391
469	6018	32395
470	6027	32364
471	6036	32331
472	6045	32300
473	6055	32268
474	6063	32233
475	6079	32236
476	6092	32225
477	6101	32191
478	6112	32169
479	6123	32146
480	6137	32140
481	6146	32109
482	6162	32112
483	6172	32085
484	6184	32070
485	6199	32069
486	6212	32057
487	6223	32035
488	6243	32059
489	6253	32033
490	6291	32150
491	6323	32234
492	6333	32206
493	6343	32177
494	6352	32146
495	6363	32127
496	6381	32138
497	6394	32127
498	6406	32108
