iter	Logloss
0	0.6718403701
1	0.6509534585
2	0.6284297298
3	0.6114439717
4	0.5969896576
5	0.5834495068
6	0.5756064279
7	0.5621104466
8	0.55059451
9	0.5443186618
10	0.5364951194
11	0.5318227651
12	0.5265069158
13	0.5201144694
14	0.5143840417
15	0.5096024725
16	0.5064359951
17	0.5018391731
18	0.4982110402
19	0.4951883748
20	0.4923262155
21	0.4896103185
22	0.4875908087
23	0.4845857195
24	0.4813717403
25	0.4793883632
26	0.4773140336
27	0.475123792
28	0.4728924846
29	0.4713721677
30	0.4698132679
31	0.4679971269
32	0.4664132021
33	0.4642607593
34	0.4625877116
35	0.4612620407
36	0.4597878861
37	0.4583856048
38	0.4566403898
39	0.45545546
40	0.4540677494
41	0.4531628642
42	0.4522959412
43	0.4514546639
44	0.4501850542
45	0.4488016887
46	0.44799576
47	0.4467198124
48	0.4454844079
49	0.4449137991
50	0.4438717992
51	0.442855445
52	0.4420288037
53	0.4410511631
54	0.4405345572
55	0.4398571184
56	0.4392844514
57	0.4385336038
58	0.4376166961
59	0.4363261779
60	0.4354234162
61	0.4347679642
62	0.4340949684
63	0.4332775727
64	0.4326280992
65	0.4318519326
66	0.4312381017
67	0.4302511829
68	0.4295236942
69	0.4286064271
70	0.4274454442
71	0.4269355683
72	0.4261650209
73	0.4254249216
74	0.4245686816
75	0.4239868344
76	0.4232772486
77	0.4224915425
78	0.4219428223
79	0.4210559708
80	0.4205931719
81	0.4201290662
82	0.4195665594
83	0.4191600504
84	0.418544782
85	0.4177547635
86	0.4174911191
87	0.4164626771
88	0.4158622408
89	0.4155199931
90	0.4148791443
91	0.414411641
92	0.4137834355
93	0.4134028335
94	0.4128932843
95	0.4122580221
96	0.4116281504
97	0.4109399633
98	0.4102188451
99	0.4093126532
100	0.4086773583
101	0.4081839152
102	0.4076497004
103	0.4072755344
104	0.4065723192
105	0.4057549888
106	0.4051666076
107	0.4050093357
108	0.4043023635
109	0.4036664152
110	0.403411853
111	0.4029340914
112	0.4025142531
113	0.4022541697
114	0.4019691266
115	0.4016259968
116	0.4010510755
117	0.4006970341
118	0.400030605
119	0.3995981236
120	0.3991705753
121	0.3988516864
122	0.398217633
123	0.3978714649
124	0.3972661608
125	0.3968449177
126	0.3963762056
127	0.3957701828
128	0.3950933321
129	0.3947248179
130	0.3942842671
131	0.3940725675
132	0.3935501464
133	0.3931947001
134	0.3930108024
135	0.3921978498
136	0.3917492949
137	0.3912219407
138	0.3906158852
139	0.3901600122
140	0.3896291624
141	0.3891193845
142	0.3885941538
143	0.3881596142
144	0.3878113226
145	0.3874233046
146	0.3870771365
147	0.3867841221
148	0.3865470381
149	0.3859116452
150	0.3856563315
151	0.3853109475
152	0.3849718034
153	0.3847344908
154	0.3844293558
155	0.3838753432
156	0.3831851632
157	0.3827485327
158	0.3820514595
159	0.3817410647
160	0.3812961688
161	0.3804247374
162	0.3798712801
163	0.3791973043
164	0.378877076
165	0.3784238493
166	0.3777839153
167	0.3769692638
168	0.3768295682
169	0.3763796412
170	0.3759656835
171	0.3751799447
172	0.3745733338
173	0.3740099776
174	0.3736102312
175	0.3733553423
176	0.3725655851
177	0.3720112457
178	0.371335179
179	0.3706762966
180	0.3704561029
181	0.3702149352
182	0.3697521363
183	0.3691066812
184	0.36873441
185	0.3683052936
186	0.36803603
187	0.3673818193
188	0.366870996
189	0.3664485115
190	0.3658040691
191	0.3653901441
192	0.3646693853
193	0.3642709457
194	0.3639980231
195	0.3637430035
196	0.3633399248
197	0.3627747064
198	0.3621714278
199	0.3617388484
200	0.3611059057
201	0.3605342841
202	0.3601178435
203	0.3596288435
204	0.3592872492
205	0.3586386904
206	0.3581283898
207	0.3574150797
208	0.3570402276
209	0.3568613611
210	0.3562073464
211	0.3555246478
212	0.3550171241
213	0.3545455044
214	0.3539150447
215	0.3534547287
216	0.353037602
217	0.352595189
218	0.351918665
219	0.3513848749
220	0.3508885569
221	0.3503435284
222	0.3498132339
223	0.3493373345
224	0.3487345459
225	0.3483315979
226	0.3477749717
227	0.3469170002
228	0.3463659278
229	0.3459018221
230	0.3455416714
231	0.3449320222
232	0.3442105447
233	0.3437740776
234	0.3435840706
235	0.3429210065
236	0.3425381504
237	0.3419373547
238	0.3416536511
239	0.3411044735
240	0.3406827077
241	0.3401171953
242	0.3395003588
243	0.3388762043
244	0.3384249705
245	0.3378783412
246	0.3371890433
247	0.3365863855
248	0.3358506313
249	0.3354078589
250	0.3351058603
251	0.3344222469
252	0.3340725832
253	0.3336412779
254	0.3333805737
255	0.332847829
256	0.3322847015
257	0.3317069053
258	0.3313560654
259	0.3306280866
260	0.3301198442
261	0.3296821683
262	0.3293221483
263	0.328805183
264	0.3283518257
265	0.327934209
266	0.3272157371
267	0.3267675089
268	0.3262033359
269	0.3258532801
270	0.3253469652
271	0.324869269
272	0.3241770635
273	0.3232323866
274	0.3225725894
275	0.3218862645
276	0.321643202
277	0.3211974567
278	0.3206605956
279	0.3197990304
280	0.3192918007
281	0.3189437378
282	0.3184813963
283	0.318071457
284	0.317521136
285	0.317050627
286	0.3165853126
287	0.3161707015
288	0.3157524967
289	0.3154487666
290	0.3150027926
291	0.3145230708
292	0.3139406682
293	0.3134589209
294	0.3130525425
295	0.3125049658
296	0.3118983876
297	0.3114404565
298	0.311039338
299	0.3104389997
300	0.3099849889
301	0.3094834111
302	0.3091439403
303	0.3087621949
304	0.3080875658
305	0.3077376733
306	0.3072827805
307	0.3065643739
308	0.3062034718
309	0.3055918625
310	0.3052694453
311	0.3047473835
312	0.3044423139
313	0.3040267554
314	0.30362959
315	0.3028052029
316	0.302191274
317	0.3019119808
318	0.3016023048
319	0.3011344747
320	0.3008309406
321	0.3003802622
322	0.2996960934
323	0.2993862541
324	0.2990078083
325	0.2984023735
326	0.2982391231
327	0.2979381045
328	0.2972068588
329	0.2966834249
330	0.2962708067
331	0.2958137577
332	0.2954904584
333	0.2952008088
334	0.2946420264
335	0.2943554478
336	0.2941205527
337	0.2938017292
338	0.2934010354
339	0.2928982815
340	0.2925529628
341	0.2922216594
342	0.2917389647
343	0.2914485638
344	0.2911847233
345	0.2908170913
346	0.290541065
347	0.2900224663
348	0.2897155018
349	0.2893562659
350	0.2889816752
351	0.2886801992
352	0.2881695719
353	0.2876059217
354	0.287353777
355	0.2869056795
356	0.286447585
357	0.2860241204
358	0.285670471
359	0.2852476598
360	0.2848108333
361	0.2843804428
362	0.2840206514
363	0.2837572357
364	0.2833270412
365	0.2830722502
366	0.2826156586
367	0.282109605
368	0.2817970214
369	0.2815144285
370	0.2811677377
371	0.2807911541
372	0.2804028748
373	0.2800344914
374	0.2798390939
375	0.2795077252
376	0.2791413019
377	0.2788682486
378	0.2785889881
379	0.2783346872
380	0.2780999227
381	0.2776569217
382	0.2772978164
383	0.2768660537
384	0.2766079631
385	0.2762195205
386	0.2758711309
387	0.2755427678
388	0.275372722
389	0.2751375002
390	0.2749312891
391	0.2745832262
392	0.2744095541
393	0.2740701486
394	0.2736598499
395	0.2733531468
396	0.2729151769
397	0.2725993917
398	0.2722762884
399	0.2721534667
400	0.2717660858
401	0.2714424925
402	0.2713426865
403	0.2710287634
404	0.2705789998
405	0.2701017445
406	0.2698066392
407	0.2696367568
408	0.2693741904
409	0.2689831832
410	0.2685762495
411	0.2681447318
412	0.2680948289
413	0.2679234437
414	0.2677380105
415	0.2674919423
416	0.2670322144
417	0.2667378768
418	0.2662803704
419	0.2657265047
420	0.265211075
421	0.2648035205
422	0.2645292421
423	0.2641187964
424	0.2639418247
425	0.2635099477
426	0.2631802614
427	0.2628640515
428	0.2625849379
429	0.2624217038
430	0.2621272192
431	0.261895493
432	0.2616254617
433	0.261240629
434	0.2609000801
435	0.2607430696
436	0.2604464614
437	0.2600616124
438	0.2597345561
439	0.2595309586
440	0.2592410804
441	0.2588526051
442	0.2584665146
443	0.2581896063
444	0.2579491247
445	0.2577674158
446	0.2575462093
447	0.2572810621
448	0.2571183997
449	0.2569060467
450	0.2566057468
451	0.2563457941
452	0.2559068277
453	0.2555662952
454	0.2553108508
455	0.2549229309
456	0.2546206055
457	0.254262415
458	0.2539324021
459	0.253536282
460	0.2531914371
461	0.2530662632
462	0.2528478826
463	0.2524751704
464	0.2523009266
465	0.252107718
466	0.2517850231
467	0.2515117738
468	0.2507739124
469	0.2504463007
470	0.2502549216
471	0.2499159409
472	0.2496603332
473	0.2493352044
474	0.2491260857
475	0.248920675
476	0.2485580904
477	0.2483014863
478	0.2480302951
479	0.2477501362
480	0.2473145511
481	0.247086337
482	0.2468731672
483	0.2465827827
484	0.246277174
485	0.2460817276
486	0.2457579872
487	0.2455877944
488	0.2452855018
489	0.2449973551
490	0.2445313545
491	0.2443574048
492	0.2440368334
493	0.2438120986
494	0.2434657671
495	0.2431591947
496	0.2428445856
497	0.2426222683
498	0.2424254824
