Column Name,Data Type
GN_VEHICLE_ORDER_SECTION_NUMBER,float64
GN_INCOTERM_OUTBOUND_FLOW,object
CD_VEHICLE_TRANSPORTATION_CURRENT_STATUS_CODE,object
GN_VEHICLE_ORDER_STATUS_DETAIL_NAME,object
DT_VEHICLE_TRANSPORTATION_CURRENT_STATUS_DATE,object
CD_VEHICLE_LAST_LOCATION_CODE,object
GN_VEHICLE_LAST_LOCATION_NAME,object
CD_VEHICLE_LAST_LOCATION_TYPE_CODE,object
CD_SHIPPER_DEALER_CODE,object
GN_SHIPPER_DEALER_NAME,object
CD_SHIPPING_ZONE_CODE,object
GN_SHIPPING_ZONE_NAME,object
FL_IS_FACTORY_ORDER_CODE_AVAILABLE_FLAG,int64
FL_IS_FINAL_CUSTOMER_ORDER_ISSUED_FLAG,int64
FL_IS_ONLINE_SALES_FLAG,int64
FL_IS_DIRECT_SALES_FLAG,float64
FL_IS_SALES_INVOICE_ISSUED_FLAG,int64
FL_IS_PROPERTY_STOCK_FLAG,int64
FL_IS_PROPERTY_STOCK_IN_TRANSIT_FLAG,int64
FL_IS_PROPERTY_STOCK_ARRIVED_TO_SALES_MARKET_FLAG,int64
FL_IS_NETWORK_STOCK_FLAG,int64
FL_IS_NETWORK_STOCK_IN_TRANSIT_FLAG,int64
FL_IS_VEHICLE_NOT_SOLD_WITH_SALES_INVOICE_FLAG,int64
FL_IS_FACTORY_PRODUCTION_PLANNED_FLAG,int64
FL_IS_VEHICLE_PASSED_TO_SALES_FLAG,int64
FL_IS_VEHICLE_ORDER_IN_PLANT_FLAG,int64
FL_IS_SHIPPED_TO_COMPOUND_FLAG,int64
FL_IS_VEHICLE_ORDER_IN_COUNTRY_FLAG,int64
FL_IS_CUSTOMS_OFFICE_OUTBOUND_FLAG,int64
FL_IS_VEHICLE_ON_MARKET_COMPOUND_FLAG,int64
FL_IS_VEHICLE_SOLD_TO_CUSTOMER_FLAG,int64
FL_IS_VEHICLE_SOLD_FLAG,int64
FL_IS_ANY_BLOCK_ACTIVE_FLAG,int64
GN_VEHICLE_ORDER_GUID,object
CD_VEHICLE_ORDER_CODE,object
DT_PROOF_OF_DELIVERY_DATE,object
FL_IS_VEHICLE_FOR_SHOWROOM_FLAG,int64
FL_IS_VEHICLE_FOR_DEMOSTRATION_FLAG,int64
NM_VEHICLE_ORDER_OEM_STOCK_AGEING_NUMBER,float64
NM_VEHICLE_ORDER_DEALER_STOCK_AGEING_NUMBER,float64
